證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13905000","1982747150","142.75","143.20","142.25","142.65","0.8000","2952"
"0051","元大中型100","81000","4885400","60.30","60.35","60.20","60.35","0.2500","59"
"0052","富邦科技","371000","48724500","131.20","131.60","131.05","131.40","1.2000","96"
"0053","元大電子","4000","274950","68.65","69.00","68.65","69.00","0.5000","4"
"0054","元大台商50","3000","93590","31.10","31.25","31.10","31.24","0.0000","3"
"0055","元大MSCI金融","493000","11942170","24.23","24.27","24.20","24.22","0.0100","193"
"0056","元大高股息","5960000","198850880","33.36","33.40","33.34","33.34","0.0400","2975"
"0057","富邦摩台","24000","2361700","98.55","98.55","98.15","98.40","0.6000","6"
"0061","元大寶滬深","162000","3689180","22.83","22.90","22.75","22.75","-0.0800","49"
"006203","元大MSCI台灣","8000","547600","68.40","68.65","68.25","68.25","0.0500","7"
"006204","永豐臺灣加權","29000","2613200","90.10","90.30","90.05","90.30","0.6500","22"
"006205","富邦上証","1036000","38343230","37.27","37.27","36.93","37.00","0.0700","138"
"006206","元大上證50","88000","3153540","35.85","36.00","35.75","35.83","-0.0400","37"
"006207","FH滬深","392000","11760540","29.99","30.07","29.90","29.90","0.0200","25"
"006208","富邦台50","1852000","148960600","80.30","80.65","80.30","80.40","0.4500","893"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2011000","284079700","141.10","142.10","140.85","141.25","1.5500","821"
"00632R","元大台灣50反1","81712000","426268130","5.22","5.23","5.20","5.21","-0.0400","4936"
"00633L","富邦上証正2","4423000","246682600","56.10","56.40","55.30","55.65","0.0500","830"
"00634R","富邦上証反1","74000","290430","3.93","3.93","3.91","3.93","-0.0100","16"
"00635U","期元大S&P黃金","660000","15819980","23.94","24.01","23.94","23.99","0.2500","146"
"00636","國泰中國A50","880000","22138140","25.20","25.30","25.07","25.16","0.0100","429"
"00636K","國泰中國A50+U","200","1808","9.04","9.04","9.04","9.04","0.0000","2"
"00637L","元大滬深300正2","29797000","659839510","22.20","22.38","21.94","22.09","0.0400","4877"
"00638R","元大滬深300反1","1797000","14512790","8.07","8.10","8.04","8.09","-0.0100","34"
"00639","富邦深100","379000","6304380","16.56","16.70","16.56","16.58","0.0300","57"
